ID	Begin	End	Chrom
CD34_P780_R	207912091	207912140	1
CD40_E58_R	46118305	46118356	20
CD40_P372_R	46117875	46117924	20
CD44_E26_F	35138870	35138915	11
CD44_P87_F	35138753	35138803	11
CD81_P211_F	2377080	2377130	11
CD81_P272_R	2377021	2377068	11
CD82_P557_R	44565015	44565061	11
CD86_P3_F	122055341	122055392	3
CD9_E14_R	6200384	6200431	12
CD9_P504_F	6199858	6199907	12
CD9_P585_R	6199784	6199829	12
CDC25B_E83_F	3795798	3795846	20
CDC25B_P11_R	3795704	3795759	20
CDH1_P45_F	68737222	68737267	16
CDH1_P52_R	68737220	68737266	16
CDH11_E102_R	65121891	65121939	16
CDH11_P203_R	65122194	65122240	16
CDH11_P354_R	65122346	65122391	16
CDH13_E102_F	82627050	82627102	16
CDH13_P88_F	82626858	82626909	16
CDH17_E31_F	94208525	94208577	8
CDH17_P376_F	94208936	94208989	8
CDH17_P532_F	94209093	94209137	8
CDH3_E100_R	68644951	68645001	16
CDH3_P87_R	68644761	68644816	16
CDK10_E74_F	89686716	89686768	16
CDK10_P199_R	89686446	89686496	16
CDK2_P330_R	55966424	55966470	12
CDK6_E256_F	92833622	92833669	7
CDK6_P291_R	92834166	92834209	7
CDKN1A_E101_F	36678785	36678833	6
CDKN1A_P242_F	36678444	36678491	6
CDKN1B_P1161_F	12716185	12716236	12
CDKN1C_P6_R	2885726	2885776	11
CDKN1C_P626_F	2886349	2886397	11
CDKN2A_E121_R	21994345	21994394	9
CDKN2B_E220_F	22009074	22009119	9
CDKN2B_seq_50_S294_F	22008988	22009033	9
CDM_seq_21_S260_R	153723029	153723074	X
CEACAM1_E57_R	42528407	42528453	19
CEACAM1_P44_R	42528508	42528551	19
CEBPA_P1163_R	33303553	33303603	19
CEBPA_P706_F	33303099	33303147	19
CFTR_P115_F	117479826	117479870	7
CFTR_P372_R	117479569	117479617	7
CHD2_P451_F	92899708	92899765	15
CHD2_P667_F	92899497	92899548	15
CHFR_P501_F	132888072	132888130	12
CHFR_P635_R	132888207	132888254	12
CHGA_E52_F	92923175	92923219	14
CHGA_P243_F	92922877	92922926	14
CHI3L2_E10_F	111227643	111227697	1
CHI3L2_P226_F	111227410	111227455	1
CLDN4_P1120_R	73829719	73829766	7
CLK1_P538_F	200865214	200865263	2
COL18A1_P365_R	45404796	45404845	21
COL18A1_P494_R	45404667	45404712	21
COL1A1_P117_R	50201719	50201770	17
COL1A1_P5_F	50201616	50201665	17
COL1A2_E299_F	94394835	94394886	7
COL1A2_P407_R	94394132	94394181	7
COL1A2_P48_R	94394487	94394543	7
COL4A3_E205_R	227164747	227164800	2
COL4A3_P545_F	227163997	227164044	2
COL6A1_P283_F	45981445	45981494	21
COL6A1_P425_F	45981304	45981351	21
COMT_E401_F	19942161	19942206	22
COPG2_P298_F	130669003	130669056	7
CPA4_E20_F	130293144	130293194	7
CPA4_P1265_R	130291864	130291920	7
CPA4_P961_R	130292166	130292216	7
CPNE1_P138_F	35665038	35665092	20
CREB1_P819_F	207529116	207529167	2
CREBBP_P712_R	3881399	3881449	16
CRIP1_P274_F	105486911	105486962	14
CRIP1_P874_R	105486313	105486363	14
CRK_P721_F	1456949	1457000	17
CSF1_P217_F	109910594	109910643	1
CSF1_P339_F	109910469	109910523	1
CSF1R_E26_F	150113324	150113375	5
CSF1R_P73_F	150113420	150113471	5
CSF2_E248_R	132074019	132074071	5
CSF2_P605_F	132073160	132073209	5
CSF3_E242_R	40015655	40015703	17
CSF3_P309_R	40015103	40015155	17
CSF3R_P472_F	36483358	36483410	1
CSF3R_P8_F	36482895	36482944	1
CSK_P740_R	74781609	74781662	15
CSPG2_E38_F	83471779	83471829	5
CSPG2_P82_R	83471664	83471710	5
CSTB_E410_F	43775948	43775995	21
CTAG1B_P4_R	154585178	154585130	X
CTAG1B_P77_F	154585100	154585055	X
CTGF_E156_F	131951145	131951196	6
CTGF_P693_R	131951987	131952040	6
CTLA4_E176_R	203867938	203867993	2
CTLA4_P1128_F	203866637	203866683	2
CTNNA1_P185_R	138753212	138753256	5
CTNNA1_P382_R	138753015	138753062	5
CTNNB1_P757_F	41198730	41198778	3
CTSD_P726_F	1764696	1764743	11
CTSH_E157_R	78944893	78944943	15
CTSH_P238_F	78945289	78945342	15
CTSL_P264_R	87725777	87725828	9
CTSL_P81_F	87725954	87726012	9
CTTN_E29_R	70398540	70398590	11
CXCL9_E268_R	76007194	76007245	4
CYP1A1_P382_F	74725895	74725944	15
CYP1B1_E83_R	38076046	38076090	2
CYP1B1_P212_F	38076339	38076384	2
CYP2E1_E53_R	133527395	133527446	10
CYP2E1_P416_F	133526922	133526969	10
DAB2_P35_F	39424856	39424904	5
DAB2_P468_F	39425290	39425343	5
DAB2IP_E18_R	121699369	121699411	9
DAB2IP_P671_F	121698677	121698720	9
DAB2IP_P9_F	121699331	121699389	9
DAPK1_E46_R	87497907	87497954	9
DAPK1_P10_F	87497847	87497892	9
DAPK1_P345_R	87497515	87497562	9
DBC1_E204_F	119369195	119369242	9
DBC1_P351_R	119369746	119369797	9
DCC_E53_R	52340814	52340869	18
DCC_P177_F	52340585	52340633	18
DCC_P471_R	52340297	52340346	18
DCN_P1320_R	91184319	91184371	12
DDB2_P613_R	47214325	47214374	11
DDIT3_P1313_R	57521801	57521853	12
DDR1_E23_R	30884087	30884131	6
DDR1_P332_R	30883732	30883776	6
DDR2_E331_F	162632742	162632797	1
DDR2_P743_R	162631676	162631726	1
DES_E228_R	219418583	219418632	2
DES_P1006_R	219417348	219417394	2
DHCR24_P406_R	54887612	54887661	1
DHCR24_P652_R	54887859	54887904	1
DIO3_E230_R	101561561	101561610	14
DIO3_P674_F	101560654	101560697	14
DIO3_P90_F	101561237	101561282	14
DIRAS3_E55_R	68050695	68050750	1
DIRAS3_P745_F	68051501	68051552	1
DKC1_E101_F	154762952	154762997	X
DKC1_P276_F	154762571	154762620	X
DKFZP564O0823_E45_F	74933107	74933154	4
DKFZP564O0823_P386_F	74932677	74932729	4
DLC1_E276_F	13514585	13514641	8
DLC1_P695_F	13515555	13515609	8
DLC1_P88_R	13514953	13514995	8
DLG3_E340_F	70445285	70445330	X
DLG3_P62_R	70444886	70444934	X
DLK1_E227_R	100727093	100727145	14
DLL1_P386_F	170290750	170290797	6
DLL1_P832_F	170291193	170291243	6
DMP1_E194_F	87650472	87650527	4
DMP1_P134_F	87650152	87650193	4
DNAJC15_E26_R	43023229	43023283	13
DNAJC15_P65_F	43023131	43023184	13
DNASE1L1_E178_R	154411884	154411932	X
DNASE1L1_P108_F	154412176	154412223	X
DNASE1L1_P39_R	154412102	154412152	X
DNMT1_P100_R	10195210	10195258	19
DNMT2_P199_F	17201854	17201908	10
DNMT3B_P352_R	32762015	32762064	20
DSC2_E90_F	31102301	31102349	18
DSC2_P407_R	31102791	31102849	18
DSG1_E292_F	31318351	31318409	18
DSG1_P159_R	31317910	31317961	18
DSP_P36_F	7541575	7541622	6
DSP_P440_R	7541171	7541227	6
DST_E31_F	56843610	56843661	6
DST_P262_R	56843899	56843948	6
DUSP4_E61_F	29350585	29350633	8
DUSP4_P925_R	29351568	29351613	8
E2F3_P840_R	20401306	20401355	6
E2F5_P516_R	85176850	85176899	8
EDN1_E50_R	12290453	12290501	6
EDN1_P39_R	12290365	12290413	6
EDNRB_P709_R	77976208	77976265	13
EFNA1_P591_R	155127260	155127310	1
EFNA1_P7_F	155127841	155127888	1
EFNB1_E69_F	68829032	68829080	X
EFNB1_P136_R	68828828	68828879	X
EFNB1_P17_F	68828946	68828997	X
EFNB3_E17_R	7705198	7705242	17
EFNB3_P442_R	7704736	7704788	17
EGF_E339_F	109913208	109913257	4
EGF_P242_R	109912629	109912676	4
EGF_P413_F	109912453	109912504	4
EGFR_E295_R	55019300	55019354	7
EGFR_P260_R	55018751	55018797	7
EGR4_E70_F	73293392	73293437	2
EGR4_P479_F	73293941	73293992	2
EIF2AK2_E103_R	37156800	37156843	2
EIF2AK2_P313_F	37157214	37157266	2
ELK1_E156_F	47650438	47650491	X
ELK1_E53_F	47650547	47650593	X
ELK1_P195_R	47650790	47650839	X
ELK1_P569_R	47651165	47651215	X
ELK1_P6_R	47650602	47650652	X
ELK3_P514_F	96193890	96193940	12
ELL_P693_F	18522783	18522831	19
EMR3_E61_F	14674916	14674968	19
EMR3_P39_R	14675011	14675064	19
ENC1_P484_R	74641151	74641199	5
EPHA1_E46_R	143408824	143408870	7
EPHA1_P119_R	143408981	143409034	7
EPHA2_P203_F	16156249	16156296	1
EPHA2_P340_R	16156380	16156430	1
EPHA3_E156_R	89107657	89107704	3
EPHA3_P106_R	89107397	89107448	3
EPHA5_E158_R	65669608	65669659	4
EPHA5_P66_F	65669837	65669882	4
EPHA7_E6_F	93419523	93419574	6
EPHA7_P205_R	93419734	93419780	6
EPHA8_P256_F	22563233	22563276	1
EPHA8_P456_R	22563029	22563082	1
EPHB1_E202_R	134795598	134795650	3
EPHB1_P503_F	134794886	134794943	3
EPHB2_E297_F	22711237	22711284	1
EPHB2_P165_R	22710777	22710822	1
EPHB3_E0_F	184561773	184561826	3
EPHB3_P569_R	184561205	184561260	3
EPHB4_E476_R	100827019	100827067	7
EPHB4_P313_R	100827810	100827857	7
EPHB6_E342_F	142855348	142855392	7
EPHB6_P827_R	142854185	142854229	7
EPHX1_E152_F	225825400	225825447	1
EPHX1_P1358_R	225823890	225823942	1
EPHX1_P22_F	225825225	225825280	1
EPM2A_P113_F	145735942	145735997	6
EPM2A_P64_R	145735889	145735941	6
EPO_E244_R	100721024	100721071	7
EPO_P162_R	100720619	100720662	7
EPS8_E231_F	15789147	15789191	12
EPS8_P437_F	15789815	15789861	12
ER_seq_a1_S60_F	151808011	151808060	6
ERBB2_P59_R	39688060	39688112	17
ERBB3_E331_F	56080413	56080461	12
ERBB3_P870_R	56079214	56079260	12
ERBB4_P255_F	212538795	212538844	2
ERBB4_P541_F	212539082	212539132	2
ERCC1_P354_F	45424252	45424303	19
ERCC1_P440_R	45424329	45424384	19
ERCC6_P698_R	49539699	49539748	10
ERG_E28_F	38661644	38661691	21
ERN1_P809_R	64130901	64130948	17
ESR1_E298_R	151807824	151807877	6
ESR1_P151_R	151807381	151807427	6
ESR2_E66_F	64294272	64294322	14
ESR2_P162_F	64294502	64294547	14
ETS1_E253_R	128521992	128522039	11
ETS1_P559_R	128522800	128522846	11
ETS2_P684_F	38805212	38805264	21
ETS2_P835_F	38805063	38805112	21
ETV1_P235_F	13989347	13989402	7
ETV1_P515_F	13989636	13989682	7
ETV6_E430_F	11650259	11650307	12
EVI1_E47_R	169146232	169146286	3
EVI1_P30_R	169146309	169146360	3
EVI2A_E420_F	31321257	31321310	17
EVI2A_P94_R	31321763	31321816	17
EXT1_E197_F	118111598	118111650	8
EYA4_E277_F	133241627	133241676	6
EYA4_P508_F	133240846	133240890	6
EYA4_P794_F	133240551	133240604	6
F2R_P839_F	76715100	76715143	5
F2R_P88_F	76715844	76715896	5
FABP3_E113_F	31372937	31372993	1
FABP3_P598_F	31373650	31373700	1
FANCA_P1006_R	89817638	89817684	16
FANCE_P356_R	35451982	35452033	6
FANCF_P13_F	22625833	22625885	11
FANCG_E207_R	35079783	35079832	9
FAS_P322_R	88990182	88990240	10
FAS_P65_F	88990436	88990488	10
FASTK_P257_F	151081095	151081143	7
FASTK_P598_R	151081440	151081485	7
FAT_P279_R	186724087	186724138	4
FAT_P973_R	186724783	186724827	4
FER_E119_F	108747916	108747969	5
FES_E34_R	90884493	90884537	15
FES_P223_R	90884234	90884286	15
FGF1_E5_F	142686032	142686088	5
FGF1_P357_R	142686393	142686443	5
FGF12_E61_R	192727495	192727546	3
FGF12_P210_R	192727764	192727820	3
FGF2_P153_F	122826534	122826576	4
FGF2_P229_F	122826451	122826504	4
FGF3_E198_R	69819201	69819250	11
FGF3_P171_R	69819567	69819616	11
FGF5_E16_F	80266582	80266629	4
FGF5_P238_R	80266325	80266377	4
FGF6_E294_F	4445297	4445343	12
FGF6_P139_R	4445726	4445775	12
FGF7_P44_F	49423188	49423245	15
FGF7_P610_F	49422623	49422680	15
FGF8_E183_F	101775866	101775912	10
FGF8_P473_F	101776522	101776568	10
FGF9_P1404_F	21670306	21670356	13
FGF9_P862_R	21670854	21670905	13
FGFR1_E317_F	38468281	38468325	8
FGFR1_P204_F	38468795	38468846	8
FGFR2_P266_R	121598646	121598694	10
FGFR2_P460_R	121598833	121598882	10
FGFR3_E297_R	1794172	1794224	4
FGFR3_P1152_R	1792719	1792767	4
FGFR4_P610_F	177086285	177086337	5
FGR_P39_F	27624076	27624128	1
FHIT_E19_R	61251404	61251453	3
FHIT_P93_R	61251514	61251567	3
FHL1_E229_R	136147729	136147773	X
FHL1_P768_F	136146725	136146777	X
FLI1_E29_F	128694100	128694144	11
FLI1_P620_R	128693454	128693499	11
FLJ20712_P984_R	33724980	33725029	7
FLT1_E444_F	28494626	28494678	13
FLT1_P302_F	28495374	28495419	13
FLT1_P615_R	28495683	28495735	13
FLT3_E326_R	28100216	28100261	13
FLT3_P302_F	28100845	28100896	13
FLT4_E206_F	180649341	180649383	5
FLT4_P180_R	180649720	180649770	5
FMR1_P484_R	147911487	147911532	X
FMR1_P62_R	147911908	147911955	X
FN1_E469_F	215435578	215435625	2
FN1_P229_R	215436269	215436321	2
FOLR1_E368_R	72189899	72189953	11
FOSL2_E384_R	28393272	28393320	2
FRK_P258_F	116060992	116061047	6
FRK_P36_F	116060768	116060821	6
FRZB_E186_R	182866561	182866608	2
FRZB_P406_F	182867152	182867201	2
FVT1_P225_F	63367431	63367474	18
FYN_P352_R	111873749	111873798	6
FZD7_E296_F	202034856	202034906	2
FZD9_E458_F	73434212	73434260	7
FZD9_P15_R	73433744	73433793	7
FZD9_P175_F	73433579	73433626	7
G6PD_E190_F	154547044	154547090	X
G6PD_P1065_R	154548295	154548342	X
G6PD_P196_F	154547426	154547478	X
G6PD_P597_F	154547833	154547880	X
GABRA5_E44_R	26914825	26914878	15
GABRA5_P1016_F	26913757	26913807	15
GABRA5_P862_R	26913919	26913968	15
GABRB3_E42_F	26773715	26773765	15
GABRB3_P92_F	26773853	26773903	15
GABRG3_E123_R	27425126	27425178	15
GADD45A_P737_R	67684443	67684486	1
GALR1_E52_F	77249803	77249853	18
GALR1_P80_F	77249672	77249721	18
GAS1_E22_F	86947145	86947192	9
GAS1_P754_R	86947915	86947968	9
GAS7_E148_F	10198383	10198428	17
GAS7_P622_R	10199149	10199194	17
GATA6_P21_R	22169412	22169457	18
GATA6_P726_F	22168702	22168751	18
GDF10_E39_F	47300262	47300207	10
GDF10_P95_R	47300131	47300079	10
GFAP_P1214_F	44916691	44916737	17
GFAP_P56_R	44915533	44915579	17
GFI1_E136_F	92486719	92486768	1
GFI1_P208_R	92487056	92487112	1
GFI1_P45_R	92486895	92486942	1
GJB2_E43_F	20192828	20192881	13
GJB2_P791_R	20193666	20193711	13
GJB2_P931_R	20193804	20193848	13
GLA_E98_R	101407840	101407891	X
GLA_P112_F	101408051	101408099	X
GLA_P343_R	101408282	101408328	X
GLI2_E90_F	120792346	120792401	2
GLI2_P295_F	120791965	120792015	2
GLI3_E148_R	42235412	42235468	7
GLI3_P453_R	42236018	42236063	7
GML_E144_F	142834920	142834968	8
GML_P281_R	142834497	142834549	8
GNAS_E58_F	58839774	58839823	20
GNAS_P86_F	58839624	58839673	20
GNG7_E310_R	2652253	2652310	19
GNG7_P903_F	2653474	2653519	19
GNMT_E126_F	42960858	42960915	6
GNMT_P197_F	42960542	42960591	6
GP1BB_E23_F	19723539	19723587	22
GP1BB_P278_R	19723244	19723296	22
GPATC3_P410_R	26900850	26900904	1
GPC3_E72_F	133985544	133985596	X
GPC3_P235_R	133985846	133985901	X
GPR116_E328_R	46914772	46914820	6
GPR116_P850_F	46915958	46916010	6
GPX1_E46_R	49358282	49358336	3
GPX1_P194_F	49358530	49358576	3
GPX3_E178_F	151020514	151020558	5
GRB10_E85_R	50793351	50793397	7
GRB10_P260_F	50793698	50793744	7
GRB10_P496_R	50793932	50793976	7
GRB7_E71_R	39737981	39738031	17
GRB7_P160_R	39737748	39737797	17
GRPR_P200_R	16123074	16123132	X
GSTM1_P266_F	109687525	109687576	1
GSTM1_P363_F	109687432	109687478	1
GSTM2_E153_F	109668198	109668241	1
GSTM2_P109_R	109667938	109667984	1
GSTM2_P453_R	109667593	109667647	1
GSTP1_E322_R	67584110	67584163	11
GSTP1_P74_F	67583717	67583763	11
GSTP1_seq_38_S153_R	67583743	67583794	11
GUCY2D_E419_R	8003070	8003118	17
GUCY2D_P48_R	8002599	8002646	17
GUCY2F_P255_F	109482287	109482339	X
H19_P1411_R	1999222	1999271	11
H19_P541_F	1998357	1998405	11
HBEGF_P32_R	140346597	140346642	5
HBII-13_E48_F	24985118	24985176	15
HBII-13_P991_R	24984082	24984137	15
HBII-52_E142_F	25170846	25170894	15
HBII-52_P563_F	25170140	25170190	15
HBII-52_P659_F	25170046	25170094	15
HCK_P46_R	32052185	32052236	20
HCK_P858_F	32051372	32051422	20
HDAC1_P414_R	32291672	32291717	1
HDAC11_P556_F	13479745	13479789	3
HDAC5_E298_F	44123326	44123372	17
HDAC6_E102_F	48802158	48802203	X
HDAC6_P153_F	48801906	48801949	X
HDAC7A_P344_F	47799463	47799507	12
HDAC9_E38_F	18495754	18495807	7
HDAC9_P137_R	18495585	18495640	7
HFE_E273_R	26087469	26087524	6
HGF_E102_R	81770010	81770061	7
HGF_P1293_R	81771404	81771453	7
HHIP_E94_F	144646090	144646143	4
HHIP_P307_R	144645690	144645741	4
HHIP_P578_R	144645422	144645470	4
HIC1_E151_F	2055097	2055140	17
HIC1_P565_R	2054384	2054435	17
HIC-1_seq_48_S103_R	2057608	2057666	17
HIC2_P498_F	18578449	18578404	22
HIC2_P528_R	18578481	18578430	22
HIF1A_P488_F	61695006	61695061	14
HLA-DOA_P191_R	33009777	33009827	6
HLA-DOA_P594_F	33010186	33010230	6
HLA-DOB_P357_R	32817339	32817392	6
HLA-DPA1_E35_R	33073537	33073590	6
HLA-DPA1_P205_R	33073778	33073834	6
HLA-DPA1_P28_R	33073605	33073651	6
HLA-DPB1_E2_R	33075963	33076015	6
HLA-DPB1_P540_F	33075415	33075468	6
HLA-DQA2_E93_F	32741458	32741502	6
HLA-DQA2_P282_R	32741077	32741127	6
HLA-DRA_P132_R	32439711	32439769	6
HLA-DRA_P77_R	32439773	32439824	6
HLA-F_E402_F	29723837	29723891	6
HLF_E192_F	55265177	55265228	17
HOXA11_E35_F	27185154	27185207	7
HOXA11_P698_F	27185887	27185935	7
HOXA11_P92_R	27185279	27185330	7
HOXA5_E187_F	27143457	27143510	7
HOXA5_P1324_F	27144970	27145020	7
HOXA5_P479_F	27144127	27144177	7
HOXA9_E252_R	27165251	27165300	7
HOXA9_P1141_R	27166642	27166692	7
HOXA9_P303_F	27165811	27165864	7
HOXB13_E21_F	48728683	48728732	17
HOXB13_P17_R	48728715	48728764	17
HOXB2_P488_R	48545493	48545537	17
HOXB2_P99_F	48545107	48545160	17
HOXC6_P456_R	54016575	54016622	12
HOXC6_P585_R	54016441	54016491	12
HPN_P374_R	35040106	35040158	19
HPN_P823_F	35039655	35039706	19
HPSE_P29_F	83335160	83335209	4
HPSE_P93_F	83335224	83335273	4
HRASLS_E72_R	193241180	193241225	3
HRASLS_P353_R	193240757	193240803	3
HS3ST2_E145_R	22814662	22814715	16
HS3ST2_P171_F	22814343	22814389	16
HS3ST2_P546_F	22813970	22814013	16
HSD17B12_E145_R	43680878	43680927	11
HSD17B12_P97_F	43680630	43680685	11
HSPA2_P162_R	64535716	64535768	14
HTR1B_E232_R	77463145	77463194	6
HTR1B_P107_F	77463487	77463535	6
HTR1B_P222_F	77463603	77463654	6
HTR2A_E10_R	46896004	46896049	13
HTR2A_P853_F	46896868	46896919	13
IAPP_E280_F	21373138	21373192	12
ICA1_P61_F	8262566	8262617	7
ICA1_P72_R	8262571	8262623	7
ICAM1_E242_F	10271323	10271373	19
ICAM1_P119_R	10270965	10271011	19
ICAM1_P386_R	10270697	10270747	19
ID1_P659_R	31604608	31604656	20
ID1_P880_F	31604383	31604431	20
IFNG_E293_F	68159422	68159474	12
IFNG_P188_F	68159904	68159955	12
IFNG_P459_R	68160170	68160224	12
IFNGR1_P307_F	137219654	137219708	6
IFNGR2_E164_F	33403034	33403086	21
IFNGR2_P377_R	33402492	33402544	21
IGF1_E394_F	102480130	102480182	12
IGF1_P933_F	102481455	102481509	12
IGF1R_E186_R	98649701	98649750	15
IGF1R_P325_R	98649189	98649239	15
IGF2_E134_R	2138610	2138665	11
IGF2_P1036_R	2139783	2139833	11
IGF2_P36_R	2138785	2138829	11
IGF2AS_E4_F	2140497	2140545	11
IGF2AS_P203_F	2140288	2140342	11
IGF2R_P396_R	159968677	159968732	6
IGFBP1_E48_R	45888382	45888437	7
IGFBP1_P12_R	45888330	45888379	7
IGFBP2_P306_F	216633073	216633125	2
IGFBP2_P353_R	216633026	216633075	2
IGFBP3_E65_R	45921182	45921230	7
IGFBP3_P1035_F	45922284	45922335	7
IGFBP3_P423_R	45921669	45921720	7
